Channel Mode,Channel Name,RX Frequency(MHz),TX Frequency(MHz),Band Width,Scan List,Squelch,RX Ref Frequency,TX Ref Frequency,TOT[s],TOT Rekey Delay[s],Power,Admit Criteria,Auto Scan,Rx Only,Lone Worker,VOX,Allow Talkaround,Send GPS Info,Receive GPS Info,Private Call Confirmed,Emergency Alarm Ack,Data Call Confirmed,Allow Interrupt,DCDM Switch,Leader/MS,Emergency System,Contact Name,Group List,Color Code,Repeater Slot,In Call Criteria,Privacy,Privacy No.,GPS System,CTCSS/DCS Dec,CTCSS/DCS Enc,Rx Signaling System,Tx Signaling System,QT Reverse,Non-QT/DQT Turn-off Freq,Display PTT ID,Reverse Burst/Turn-off Code,Decode 1,Decode 2,Decode 3,Decode 4,Decode 5,Decode 6,Decode 7,Decode 8
2,C.Chicago 2,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,1,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.DCI Bridge,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,4,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Echo/IRLP,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,104,4,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Illinois,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Local,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.MW Region,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81,3,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Massechusets,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Metro,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.Michigan,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Minnesota,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Mountain,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87,3,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.NA,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.NE Region,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,3,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.NTexasEmcomm,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,8,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.Ohio,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Parrot,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97,1,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.S.Plains,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,3,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.SE Region,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,3,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.SW Region,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86,3,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.Stroke DMR 1,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,1,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.TAC1,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95,5,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.TAC310,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.TAC311,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,5,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.TRBO6 Comm1,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107,4,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.TRBO6 Comm2,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,4,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.TX Statewide,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,6,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.Tennesee,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Texas Nexus,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,102,6,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.UAe 1,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,5,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.UAe 2,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,5,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.USA,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,4,1,1,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.W5HRC Chat,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103,1,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.WW,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.WWe,443.2625,448.2625,0,3,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,C.Washington,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,C.Wisconsin,443.2625,448.2625,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,6,1,0,0,0,0,0,None,None,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2,D.BM 3148,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96,6,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.Cactus,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,3,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.DCI Bridge,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,4,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.Local,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.Metro,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.NA,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.S.Plains,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,3,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.TAC310,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.TAC311,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,5,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.TX Statewide,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,6,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.WW,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,D.WWe,440.5375,445.5375,0,4,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.Cactus,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,3,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.DCI Bridge,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,4,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.Metro,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.Mid Atlantic,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83,3,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.NA,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.S.Plains,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,3,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.SE Region,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,3,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.TAC310,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.TAC311,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,5,1,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.TX Statewide,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,6,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.WW,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,E.WWe,441.725,446.725,0,5,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,1,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.BM 3148,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96,6,9,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.Crossroads,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94,4,9,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.Metro,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,9,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.NA,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,9,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.Oklahoma 2,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,6,9,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.TAC310,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,5,9,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.TAC311,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,5,9,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.TAC312,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,5,9,0,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.TX Statewide,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,6,9,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2,F.WW,443.275,448.275,0,6,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,9,1,0,0,0,0,None,None,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.2m Simplex,146.52,146.52,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,None,0,0,0,2,1,1,0,0,0,0,0,0,0,0
1,FM.70cm Simplex,446,446,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,None,None,0,0,3,2,1,1,0,0,0,0,0,0,0,0
1,FM.Arlington VHF,147.14,147.74,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
1,FM.Bedford UHF,442.825,447.825,2,28,3,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,110.9,110.9,0,0,3,2,1,0,0,0,0,0,0,0,0,0
